nr,date,year,title,duration_min,notes,link
11,2018-04-18,2018,Judenhass – oder alles nur Spaß?,29,"Nach dem Echo-Skandal: Haben unsere Länder ein Antisemitismusproblem? Und: Warum gehen österreichische Bands in Deutschland durch die Decke, Schweizer aber nicht? Wir diskutieren den Alpenpop.

Die Rapper Kollegah und Farid Bang haben gerade den deutschen Musikpreis Echo erhalten. Die beiden fallen immer wieder mit antisemitischen Texten und Videos auf. Ist das Rollenprosa oder einfach nur daneben? Jedenfalls hat die Preisverleihung eine Debatte über Antisemitismus ausgelöst, die auch von Übergriffen auf jüdische Schüler befeuert wird. Ist das ein deutsches Problem oder haben die Schweiz und Österreich das auch?

Auch beim zweiten Thema von “Servus. Grüezi. Hallo” geht es um Musik, aber diesmal ganz unpolitisch. Wanda, Bilderbuch, Soap&Skin und früher natürlich der große Falco: Österreich bringt immer wieder tolle und auch im Ausland erfolgreiche Bands hervor. Die Schweiz eher nicht. Und Deutschland hat halt Rammstein. Woran liegt das? Wir diskutieren die Exportfähigkeit der Musik aus den Alpenländern – und stellen unsere eigenen Favoriten vor.",https://www.zeit.de/gesellschaft/2018-04/politikpodcast-servus-grueezi-hallo-18-april-2018
12,2018-04-25,2018,Wer kann diese Mieten noch bezahlen?,33,"In Deutschland fehlen Millionen bezahlbare Wohnungen, in Wien kriegt man das besser hin: Wir diskutieren über steigende Mieten. Und über Esskulturen in unseren Ländern.

Eine neue Studie zeigt: In deutschen Städten fehlen 1,9 Millionen bezahlbare Wohnungen. Wer sich welche Wohnung leisten kann, wer überhaupt noch eine Wohnung bekommt – das scheint längst zur neuen sozialen Frage geworden zu sein. Wieso gibt es in Deutschland kaum Genossenschaftswohnungen – und weshalb in Zürich so viele. Und warum wollen eigentlich alle in den gleichen paar Quartieren wohnen und niemand, zum Beispiel, im Wiener Viertel mit dem traumhaften Namen Transdanubien? In der zwölfte Folge von “Servus. Grüezi. Hallo.” diskutieren wir die Wohnungspolitik in unseren Ländern.

Das zweite Thema: wie wir essen. Was ist noch gute Kochkultur und was schon versnobte Angeberei? Wir reden über Jakobsmuscheln und Blumenkohlschaum, über die Monsterportionen in Deutschland, über die österreichische Küche jenseits vom Wiener Schnitzel und über die Butterlastigkeit der Schweizer Kulinarik. Und wir freuen uns auf ihre Lieblingsrezepte unter alpen@zeit.de.",https://www.zeit.de/gesellschaft/2018-04/politikpodcast-servus-grueezi-hallo-25-april-2018
13,2018-05-02,2018,"Proletariat, wie geht's?",36,"Die 40-Stunden-Woche ist doch unterträglich: Wir fragen zum 1. Mai, ob Teilzeitarbeit besser für alle ist – und welche Spuren Karl Marx in unseren Ländern hinterlassen hat.

Zum 1. Mai: Proletariatssonderausgabe bei ""Servus. Grüezi. Hallo.""! In Deutschland versuchen einige Politiker und Gewerkschaften, von der 40-Stunden-Woche wegzukommen. Damit mehr Pflegezeiten und eine gerechtere Aufgabenteilung in den Familien möglich ist. Die Schweizer arbeiten sowieso schon etwas weniger, weil sie es sich leisten können. Ist Teilzeit nur kleinliches Stundenzählen oder die beste Antwort auf die entgrenzte Arbeitswelt?

Zweites Thema: Karl Marx feiert seinen 200. Geburtstag. Wir erzählen, was der deutsche Ökonom mit den Abstinenzlervereinen in österreichischen Gewerkschaften zu tun hat und warum Zürich mal eine Kommunistenhochburg war.",https://www.zeit.de/gesellschaft/2018-05/politikpodcast-servus-grueezi-hallo-02-mai-2018
14,2018-05-09,2018,XXL-Folge: Fleischeslust vs. Veggie-Day,48,"Erleben die Grünen in unseren Länder gerade ihr Comeback – und hat der Sommertourismus in den Alpen eine Zukunft?

Vor der Urlaubspause: eine XXL-Folge von ""Servus. Grüezi. Hallo."" Wir fragen uns, warum die Grünen in den Alpenländern einen schweren Stand haben. Liegt das nur an PR-Desastern wie dem Veggie-Day oder steckt mehr dahinter? Und wir stellen die Grünenpolitiker vor, die trotzdem gerade Erfolge feiern.

Apropos XXL: Warum verzehren Deutsche und Österreicher pro Jahr durchschnittlich 10 Kilogramm mehr Fleisch als die Schweizer? Und weshalb sind Rindsfilet, Schweinehalssteak und Chicken Wings bei den Eidgenossen so teuer?

Und zum Schluss sprechen wir noch über den Tourismus: Wie können die Alpendestinationen auch im Sommer wieder mehr Urlauber anlocken – rentiert sich das überhaupt?",https://www.zeit.de/serie/servus-gruezi-hallo
15,2018-06-06,2018,Das hat Italien nicht verdient,35,"Italien hat Regierungsprobleme und wird dafür verspottet und belehrt. Wie stehen die Alpenländer zu ihrem südlichen Nachbarn? Und: Warum die Schweiz nicht in der EU ist.

Erst haben sie keine Regierung zustande bekommen, nun soll ein Bündnis aus Nationalisten und Populisten die Geschäfte übernehmen. Italien bestätigt gerade wieder seinen Ruf als politischer Problemfall. Besonders deutsche Politiker und Medien reagieren darauf mit Häme und Belehrungen. Warum nur? Und ist das Land für Österreicher und Schweizer ebenso Sehnsuchtsort wie für Deutsche? Wir reden über unser Verhältnis zum südlichen Nachbarn.

Das zweite Thema in der 15. Folge von “Servus. Grüezi. Hallo”: Wie kann es eigentlich sein, dass die Schweiz mitten in Europa liegt und doch nicht EU-Mitglied ist? Das Land ist zwar per Vertrag eng an die Union gebunden, aber wirklich mitbestimmen kann es eben auch nicht, solange es außen vor bleibt. Warum ist den Schweizern das so wichtig?",https://www.zeit.de/gesellschaft/2018-06/politikpodcast-servus-grueezi-hallo-06-juni-2018
16,2018-06-13,2018,Das Problem mit den Talkshows,31,"Deutschland diskutiert ein Talkshow-Moratorium. Wie steht es in der Schweiz und Österreich um die Qualität der TV-Diskussionen? Und: wie sich ein Schweizer auf einen Abstimmungssonntag vorbereitet.

Sie sorgen für gute Einschaltquoten und sind günstig zu produzieren: TV-Talkshows. Nun aber stehen die Sendungen in Deutschland in der Kritik. Sie würden mit ihrem immer gleichen Themenkanon »Flüchtlinge/Euro/Islam« der AfD in die Hände spielen. Der deutsche Kulturrat fordert nun ein einjähriges Talk-Moratorium und die Sendung »Hart aber fair« will AfD-Fraktionschef Alexander Gauland vorläufig nicht mehr einladen. Bringt´s das? Und wie deutungsmächtig sind die Fernsehdiskussionen in der Schweiz und in Österreich?

Das zweite Thema in der 16. Folge von Servus. Grüezi. Hallo.: Am vergangenen Sonntag war in der Schweiz wieder mal Abstimmung. In Zürich mussten die Stimmbürger über ein Dutzend Vorlagen bestimmen. Wie bereitet man sich darauf vor? Und fühlt man sich da nicht schnell mal überfordert?",https://www.zeit.de/gesellschaft/2018-06/politikpodcast-servus-grueezi-hallo-13-juni-2018
17,2018-06-20,2018,Die Kurz-Seehofer-Achse,36,"Ist Sebastian Kurz schuld am Krach zwischen CDU und CSU? Wie dicht sind eigentlich die Schweizer Grenzen? Und: Gibt es einen Sport außer Fußball?

In Berlin verschärft sich der Konflikt zwischen den Unionsparteien CDU und CSU. Der österreichische Kanzler Sebastian Kurz schaut gemütlich zu, spricht von einer “Achse der Willigen” und stellt sich demonstrativ an die Seite von Horst Seehofer. Warum tut er das, macht das für ihn Sinn und wie groß ist die Rolle des österreichischen Kanzlers, der in wenigen Tagen die EU-Präsidentschaft übernimmt, wirklich? Und wie funktioniert Asylpolitik eigentlich in der Schweiz, sind die Eidgenossen auch hysterisch deswegen?

Das zweite Thema in der 17. Folge von “Servus. Grüezi. Hallo.“: Ist Fußball alles? Nein, in der Schweiz gibt es einen Trend zu urchigen (!) Sportarten und vieles, wie etwa Downhillen, spielt zwar im Fernsehen keine Rolle, erreicht online aber ein Millionenpublikum. Wie kommt das?",https://www.zeit.de/gesellschaft/2018-06/politikpodcast-servus-grueezi-hallo-08-februar-2018
18,2018-06-27,2018,Was will das Volk?,34,"In welchem Land reden die Politiker dem Volk am ehesten nach dem Mund? Und: Welche Filme aus der Schweiz und Österreich muss man gesehen haben?

Achtung, Politikseminar! Immer häufiger berufen sich Politiker in Deutschland und Österreich auf den vermeintlichen Willen des Volkes. Wir fragen uns, in welcher Regierungsform diese gefühlte Meinung eigentlich wichtiger ist: in der repräsentativen oder der direkten Demokratie? Und wagt es das Parlament in der Schweiz auch mal, sich gegen das Volk zu stellen?

Das zweite Thema in der 18. Folge von ""Servus. Grüezi. Hallo."": Carlo Chatrian, der Leiter des Filmfestivals Locarno, zieht nach Berlin. Er wird neuer Co-Chef der Berlinale. Aber welche Filme aus unseren Nachbarländern kennen wir eigentlich?",https://www.zeit.de/gesellschaft/2018-06/politikpodcast-servus-grueezi-hallo-27-juni-2018
19,2018-07-04,2018,Der schräge Merkel-Kult,32,"Wir diskutieren, warum die deutsche Kanzlerin in Österreich und der Schweiz so polarisiert. Außerdem: sollen Journalisten auch politisch aktiv sein?

Angela Merkel hat gerade noch so ihre Regierung gerettet und den CSU-Vorsitzenden Horst Seehofer befriedet. Ausgerechnet die nüchterne Merkel ist längst zur Kultfigur geworden, im Negativen wie im Positiven, über die deutschen Grenzen hinaus. Liegt das nur an ihrer Flüchtlingspolitik? Warum wird Politik überhaupt so stark personalisiert und ist das in der Schweiz wirklich anders?

Das zweite Thema bei ""Servus. Grüezi. Hallo."": Wie Journalisten mit ihren privaten politischen Meinungen umgehen sollten. In Österreich will der öffentlich-rechtliche ORF seinen Journalisten jede Meinungsäußerung auf Twitter und Co. verbieten. Und in Deutschland wird darüber gestritten, ob AfD-Berichterstatter an Anti-AfD-Demos teilnehmen sollen. In der Schweiz wiederum war es eine Zeit lang sogar erwünscht, dass Journalisten auch politische Ämter haben.",https://www.zeit.de/gesellschaft/2018-07/politikpodcast-servus-grueezi-hallo-04-juli-2018
20,2018-07-11,2018,Asyl-Hysterie in den Alpen,30,"Wir diskutieren, warum Asylpolitik in Österreich und Deutschland ein derart heisses Thema ist – in der Schweiz zurzeit aber nicht. Außerdem im transalpinen Podcast: Ein Saufspiel, wir sprechen über Bier.

Doppelfolge bei »Servus. Grüezi. Hallo.«. Wir diskutieren in Überlänge über das Überthema dieser Wochen, die Asyl- und Flüchtlingspolitik. Warum lässt sich mit Verfahrensdauern und Grenzkontrollen in Deutschland und Österreich zurzeit derart erfolgreich Politik machen – und wieso kümmern sich die Schweizer gerade mäßig darum, wie viele Menschen in ihr Land flüchten?

Zweites Thema: In welchem Alpenland wird eigentlich am meisten Bier gesoffen? Und wo wird es gebraut? Eine kleine Kulturgeschichte des Gerstensafts, pünktlich zum WM-Finale.",https://www.zeit.de/gesellschaft/2018-07/politikpodcast-servus-grueezi-hallo-11-juli-2018
21,2018-07-18,2018,Warum Flüchtlinge einen Bogen um die Schweiz machen,34,"Die Schweiz hat eines der schnellsten Asylverfahren in Europa. Wie kommt das? Außerdem: welche Orte in unseren Ländern echt mal einen Urlaub wert wären.

Doppelfolge bei ""Servus. Grüezi. Hallo."". Wir diskutieren in Überlänge über das Überthema dieser Wochen, die Asyl- und Flüchtlingspolitik. Teil 2: 2016 entschieden die Schweizer über ein revidiertes Asylgesetz. Es soll die Verfahrensdauern drastisch verkürzen – ohne dabei die Rechte der Asylbewerber zu beschneiden. Wie funktioniert das?

Zweites Thema: Wohin fahren wir selber in unseren Heimatländern in Urlaub? Und welches Ferienerlebnis aus dem Nachbarland ist uns in Erinnerung geblieben? Eine Dreiländertour von Eisenerz in der Steiermark über den Schweizer Jura bis in den platten Norden: nach Rügen in die Kraft-durch-Freude-Siedlung Prora.",https://www.zeit.de/gesellschaft/2018-07/politikpodcast-servus-grueezi-hallo-18-juli-2018
22,2018-07-25,2018,"Zu den Waffen, Alpenländer!",37,"Wie wichtig sind die Armeen in unseren Ländern und sollen wir wirklich immer mehr Geld für sie ausgeben? Außerdem: die Kinderbuchklassiker aus Österreich, Deutschland und der Schweiz.

Zwei Prozent der Wirtschaftsleistung soll Deutschland für die Rüstung ausgeben, das verlangen die Nato und Donald Trump. Das ist einerseits verständlich, weil die Bundeswehr nur bedingt einsatzfähig ist. Andererseits ist es doch Quatsch, mehr Geld für Waffen und Soldaten auszugeben, nur weil die die Wirtschaftsleistung steigt, oder?

Da haben es die Österreicher gut, ihr Bundesheer ist so klein, dass sich Trump und Nato nicht für sie interessieren. In der Schweiz hingegen stand das Militär lange im Mittelpunkt des nationalen Selbstverständnisses, erst die Waffe machte den Schweizer Mann zum Bürger.

Zweites Thema bei “Servus. Grüezi. Hallo.“: Nach dem Tod von Christine Nöstlinger reden wir über unsere liebsten Kinderbücher und darüber, was sie mit unseren Ländern zu tun haben.",https://www.zeit.de/gesellschaft/2018-07/politikpodcast-servus-grueezi-hallo-25-juli-2018
23,2018-08-01,2018,Die Alpen trocknen aus,35,"Ernten verdorren und Männer tragen kurze Hosen: was dieser krasse Sommer in Deutschland, Österreich und der Schweiz anrichtet. Außerdem: Freibad vs. Bergsee.

Jahrelang reden wir vom kommenden Klimawandel, und nun ist er da: In diesem Jahr ist es mal wieder rekordwarm, die Ernte verdorrt und an manchen Orten wird das Wasser knapp. Wie kann sich die Landwirtschaft darauf einstellen? Und dürfen wir jetzt alle kurze Hosen tragen im Büro? “Servus. Grüezi. Hallo.” diskutiert die Dürre und die Hitze.

Zweites Thema, passend dazu: transalpine Badekultur! Wo springen wir am liebsten ins Wasser? Wir erinnern uns an lange Sommer am Beckenrand und feiern die schönsten Flüsse und Seen der Alpen.",https://www.zeit.de/gesellschaft/2018-08/politikpodcast-servus-grueezi-hallo-1-juli-2018
24,2018-08-08,2018,Wie Rechtspopulisten verschwinden,31,"Spielt die Zeit gegen die rechten Parteien in der Schweiz, Deutschland und Österreich? Außerdem: Auch Österreicher dürfen jetzt rasen!

Steile These: Weil die Schweiz immer städtischer wird und die Schweizer immer gebildeter, wird es die nationalkonservative SVP immer schwerer haben. Stimmt das oder ist das naiv? Wir diskutieren darüber, ob der gesellschaftliche Wandel rechten Parteien mittelfristig schaden wird.

Zweites Thema bei “Servus. Grüezi. Hallo.“: Auch in Österreich darf man jetzt 140 fahren! Zwar nur auf einem Testabschnitt der Autobahn, aber immerhin. Die Deutschen können darüber nur lachen, hier wird man mit langsamen 140 per Lichthupe auf die rechte Spur verbannt. Woher kommt diese deutsche Raserei und warum sind viele so unzugänglich für die vielen guten Argumente für ein Tempolimit?",https://www.zeit.de/gesellschaft/2018-08/politikpodcast-servus-grueezi-hallo-8-august-2018
25,2018-08-15,2018,Zwangsarbeit für alle?,34,"Soll jeder ein Jahr für die Gesellschaft arbeiten müssen? Wir streiten über Dienstpflicht und Wehrpflicht und erzählen, wie wir uns vor der Armee gedrückt haben.

2011 wurde die Wehrpflicht in Deutschland abgeschafft. Jetzt diskutiert die CDU wieder, ob junge Menschen dazu verpflichtet werden sollen, ein Jahr zu dienen, entweder in der Armee oder im sozialen Bereich. Ist das Zwangsarbeit oder hilft es dem Zusammenhalt? Und wie geht es Österreich und der Schweiz mit ihrer Wehrpflicht?

Zweites Thema bei ""Servus. Grüezi. Hallo."": Wer genau wählt eigentlich FPÖ, SVP und AfD? Und hilft es irgendwas, diese Wähler nach soziodemografischen Kriterien zu sortieren, oder geht es bei diesen Parteien um ganz anderes?",https://www.zeit.de/gesellschaft/2018-08/politikpodcast-servus-grueezi-hallo-15-august-2018
26,2018-08-22,2018,"Links, aber national",35,"Was haben deutsche Linke und Schweizer Gewerkschaften plötzlich gegen die EU? Außerdem: wie deutsches Fernsehen die Alpen dominiert.

Sahra Wagenknecht will in Deutschland eine neue politische Bewegung starten und setzt dafür lieber auf starke Nationen statt auf eine Stärkung der EU – denn die sei ein Vehikel des Neoliberalismus. Auch in den anderen Alpenländern verabschieden sich manche Linke von der Vorstellung, dass internationale Kooperationen immer besser sind als nationale Alleingänge. Wie kommts? Und haben sie in manchem gar recht?

Außerdem bei “Servus. Grüezi. Hallo.“: welche Rolle ausländisches Fernsehen in unseren Ländern spielt. Von der feierlichen Eurovision-Hymne bis zum länderübergreifenden ""Tatort"". Und warum die Schweizer und Österreicher eigentlich kein mächtiges Privatfernsehen haben.",https://www.zeit.de/gesellschaft/2018-08/politikpodcast-servus-grueezi-hallo-22-august-2018
27,2018-08-29,2018,Ausländer rein!,31,"Deutschland kriegt endlich ein Einwanderungsgesetz – brauchen Österreich und die Schweiz auch eins? Und: warum die Alpenländer ihre Nazivergangenheit lange verdrängten.

Deutschland ist ein Einwanderungsland! Nach Jahren des Leugnens sieht auch die Union in Deutschland ein, dass es ein Einwanderungsgesetz braucht, das ausländische Fachkräfte ins Land holt. Denn die boomende Wirtschaft ist darauf angewiesen. Geht das, ohne dass gleich wieder die Sorgen vor illegaler Masseneinwanderung hochkochen? Was steht drin? Und wie attraktiv sind eigentlich die Schweiz und Österreich für Ausländer auf Jobsuche?

Zweites Thema bei ""Servus. Grüezi. Hallo."": Vor genau 20 Jahren hat die Schweiz sich in der Meili-Affäre erstmals ausgiebig mit der eigenen Rolle im Nationalsozialismus auseinandergesetzt. Warum hat das so lange gedauert? Auch Österreich war ja jahrzehntelang vor allem damit beschäftigt zu betonen, dass Hitler zwar bei ihnen geboren, aber erst in Deutschland groß wurde. Und: War die Vergangenheitsbewältigung in Deutschland wirklich vorbildlich?",https://www.zeit.de/gesellschaft/2018-08/politikpodcast-servus-grueezi-hallo-29-august-2018
